"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0.000117524981894762,0.488987502047841,0.372,0.135,1,"14","HIST1H1C"
0.000117636198602497,0.840796427377917,0.279,0.092,1,"14","CHP1"
0.000118127567837142,0.724119859506771,0.302,0.102,1,"14","PMVK"
0.000118209957365522,0.550540267866442,0.442,0.171,1,"14","OTUB1"
0.00011950159576984,0.817212568920427,0.256,0.08,1,"14","DALRD3"
0.000119506132958856,0.660424500076588,0.256,0.081,1,"14","EAF2"
0.000120334545690339,0.739333276082864,0.349,0.132,1,"14","AC008014.1"
0.000122788378785876,0.754508445612004,0.512,0.221,1,"14","LDHA"
0.000123169747705219,0.351860751970805,0.605,0.246,1,"14","MAPK1IP1L"
0.000123831934671513,0.492874917671619,0.488,0.198,1,"14","AC004687.1"
0.000124011921144489,0.628561397088201,0.442,0.181,1,"14","ABL1"
0.000125180878398482,0.53062062857819,0.395,0.15,1,"14","CHPT1"
0.000128500308169504,0.501255577995426,0.86,0.441,1,"14","NDUFA13"
0.000128977723848034,0.370579870832025,0.419,0.157,1,"14","SART3"
0.000129553538546348,0.754987428609298,0.302,0.103,1,"14","NUTF2"
0.00012959716854418,0.866856307974696,0.349,0.129,1,"14","DPP9"
0.000133870502580842,0.405350032415724,0.279,0.09,1,"14","AP1G2"
0.000134024423233825,0.406814941359269,0.953,0.736,1,"14","FTL"
0.000134566461915568,0.361310714065186,0.372,0.133,1,"14","ADRM1"
0.000134725337618147,0.590404524771065,0.814,0.493,1,"14","TUBA1A"
0.000135647120280576,0.471086688745824,0.977,0.763,1,"14","ATP5F1E"
0.000135747594788739,0.394578829923284,0.372,0.136,1,"14","ASPH"
0.000136285942011441,0.590392255480362,0.302,0.102,1,"14","GPATCH4"
0.000137924008202657,0.701737513326633,0.395,0.149,1,"14","PIEZO1"
0.000138347724729491,0.848395932119615,0.326,0.123,1,"14","YBX3"
0.000139212359793891,0.388931438830616,0.884,0.517,1,"14","ATP2B1"
0.000139962088497559,0.881257949890396,0.302,0.105,1,"14","SHQ1"
0.000140413270345766,0.302877618443336,0.372,0.133,1,"14","NACC2"
0.000140637754319239,0.638154228959846,0.442,0.174,1,"14","SH3BP2"
0.000140955734257828,1.14032809738186,0.279,0.093,1,"14","ABCC4"
0.000143072829871539,0.686710772237473,0.279,0.092,1,"14","ELOA"
0.00014351246121582,0.556131317758584,0.767,0.373,1,"14","EIF3D"
0.00014363918918526,0.415150041235047,0.488,0.194,1,"14","CNPY2"
0.000144696207943895,0.831253226896308,0.279,0.094,1,"14","RELT"
0.000146236421746455,0.52069214092562,0.535,0.22,1,"14","RABL6"
0.000147194233560441,0.584736554571524,0.558,0.249,1,"14","PELI2"
0.000148078907410534,0.754222383156184,0.558,0.239,1,"14","RNF166"
0.000152675104458509,0.469615263589585,0.395,0.147,1,"14","PML"
0.000153351014507525,0.641345918692542,0.279,0.092,1,"14","AP3M1"
0.000155091119017832,1.01786090143816,0.279,0.095,1,"14","DGKG"
0.000155890581745883,0.633839648442197,0.395,0.149,1,"14","CCDC88B"
